City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
madrid,ALL,80,606,0,5363,1026,485.328,485.328,0,21,20625.13,,,,,,,,,,,,,,,,,
madrid,SEQ,90,606,0,5363,1026,510.98,454.98,56,15,11057.39,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,90,606,0,5363,1026,501.287,501.287,0,18,17195.15,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,90,606,0,5363,1026,485.672,485.672,0,19,20572.58,,,,,,,,,,,,,,,,,
madrid,ALL,90,606,0,5363,1026,487.833,487.833,0,21,19269.32,,,,,,,,,,,,,,,,,
madrid,SEQ,100,606,0,5363,1026,527.885,453.885,74,14,12667.39,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,100,606,0,5363,1026,489.2,489.2,0,20,17407.72,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,100,606,0,5363,1026,483.795,483.795,0,19,17599.08,,,,,,,,,,,,,,,,,
madrid,ALL,100,606,0,5363,1026,500.189,500.189,0,21,18961.13,,,,,,,,,,,,,,,,,
newyork,SEQ,50,2237,21386,13298,2527,4298.42,2027.42,2271,50,9931.47,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,50,2237,21386,13298,2527,4181.09,2302.09,1879,50,11106.84,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,50,2237,21386,13298,2527,4138.15,2345.15,1793,50,14768.19,,,,,,,,,,,,,,,,,
newyork,ALL,50,2237,21386,13298,2527,4167.91,2374.91,1793,50,13861.41,,,,,,,,,,,,,,,,,
newyork,SEQ,60,2237,21386,13298,2527,4517.34,1521.34,2996,41,17654.1,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,60,2237,21386,13298,2527,4520.48,2429.48,2091,50,21621.79,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,60,2237,21386,13298,2527,4546.44,2449.44,2097,50,21880.91,,,,,,,,,,,,,,,,,
newyork,ALL,60,2237,21386,13298,2527,4586.2,2498.2,2088,50,24201.61,,,,,,,,,,,,,,,,,
newyork,SEQ,70,2237,21386,13298,2527,4614.4,1428.4,3186,38,16619.19,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,70,2237,21386,13298,2527,4544.54,2392.54,2152,50,22633.59,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,70,2237,21386,13298,2527,4717.59,2581.59,2136,50,23602.02,,,,,,,,,,,,,,,,,
newyork,ALL,70,2237,21386,13298,2527,4678.73,2585.73,2093,50,27034.16,,,,,,,,,,,,,,,,,
newyork,SEQ,80,2237,21386,13298,2527,4611.44,1455.44,3156,41,17430.73,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,80,2237,21386,13298,2527,4556.5,2306.5,2250,50,23062.29,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,80,2237,21386,13298,2527,4643.84,2474.84,2169,50,25490.17,,,,,,,,,,,,,,,,,
newyork,ALL,80,2237,21386,13298,2527,4663.78,2597.78,2066,50,32712.48,,,,,,,,,,,,,,,,,
newyork,SEQ,90,2237,21386,13298,2527,4608.9,1474.9,3134,40,17433.08,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,90,2237,21386,13298,2527,4532.08,2241.08,2291,50,21592.59,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,90,2237,21386,13298,2527,4530.62,2352.62,2178,50,27809.72,,,,,,,,,,,,,,,,,
newyork,ALL,90,2237,21386,13298,2527,4611.3,2470.3,2141,50,33408.23,,,,,,,,,,,,,,,,,
newyork,SEQ,100,2237,21386,13298,2527,4647.65,1365.65,3282,37,22264.13,,,,,,,,,,,,,,,,,
