City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,55,2237,21386,13298,2527,4540.24,2429.24,2111,50,18740.73,,,,,,,,,,,,,,,,,
newyork,ALL,55,2237,21386,13298,2527,4548.31,2452.31,2096,50,23612.65,,,,,,,,,,,,,,,,,
newyork,SEQ,60,2237,21386,13298,2527,4517.34,1521.34,2996,41,17654.1,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,60,2237,21386,13298,2527,4546.44,2449.44,2097,50,21880.91,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,60,2237,21386,13298,2527,4520.48,2429.48,2091,50,21621.79,,,,,,,,,,,,,,,,,
newyork,ALL,60,2237,21386,13298,2527,4586.2,2498.2,2088,50,24201.61,,,,,,,,,,,,,,,,,
newyork,SEQ,65,2237,21386,13298,2527,4567.71,1441.71,3126,37,17296.77,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,65,2237,21386,13298,2527,4613.44,2468.44,2145,50,25299.94,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,65,2237,21386,13298,2527,4582.28,2464.28,2118,50,24184.56,,,,,,,,,,,,,,,,,
newyork,ALL,65,2237,21386,13298,2527,4663.89,2562.89,2101,50,26753.38,,,,,,,,,,,,,,,,,
newyork,SEQ,70,2237,21386,13298,2527,4614.4,1428.4,3186,38,16619.19,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,70,2237,21386,13298,2527,4717.59,2581.59,2136,50,23602.02,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,70,2237,21386,13298,2527,4544.54,2392.54,2152,50,22633.59,,,,,,,,,,,,,,,,,
newyork,ALL,70,2237,21386,13298,2527,4678.73,2585.73,2093,50,27034.16,,,,,,,,,,,,,,,,,
newyork,SEQ,75,2237,21386,13298,2527,4561.11,1451.11,3110,41,17823.35,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,75,2237,21386,13298,2527,4653.18,2474.18,2179,50,24499.94,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,75,2237,21386,13298,2527,4532.76,2335.76,2197,50,23508.01,,,,,,,,,,,,,,,,,
newyork,ALL,75,2237,21386,13298,2527,4691.3,2547.3,2144,50,29485.85,,,,,,,,,,,,,,,,,
paris,SEQ,50,1452,8804,3666,697,1580.21,1156.21,424,33,11771.6,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,50,1452,8804,3666,697,1438.12,1438.12,0,49,22867.49,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,50,1452,8804,3666,697,1427.89,1427.89,0,50,15993.67,,,,,,,,,,,,,,,,,
paris,ALL,50,1452,8804,3666,697,1434.73,1434.73,0,49,19551.35,,,,,,,,,,,,,,,,,
paris,SEQ,55,1452,8804,3666,697,1564.45,1140.45,424,33,12426.07,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,55,1452,8804,3666,697,1421.49,1421.49,0,50,22239.46,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,55,1452,8804,3666,697,1421.79,1421.79,0,49,17019.76,,,,,,,,,,,,,,,,,
paris,ALL,55,1452,8804,3666,697,1426.14,1426.14,0,50,22689.19,,,,,,,,,,,,,,,,,
paris,SEQ,60,1452,8804,3666,697,1530.83,1145.83,385,34,14415.2,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,60,1452,8804,3666,697,1406.18,1406.18,0,50,21051.96,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,60,1452,8804,3666,697,1422.12,1422.12,0,49,16607.81,,,,,,,,,,,,,,,,,
paris,ALL,60,1452,8804,3666,697,1447.19,1447.19,0,49,22992.67,,,,,,,,,,,,,,,,,
paris,SEQ,65,1452,8804,3666,697,1614.07,1114.07,500,31,14265.63,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,65,1452,8804,3666,697,1425.77,1425.77,0,49,22677.81,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,65,1452,8804,3666,697,1444,1444,0,50,18935.08,,,,,,,,,,,,,,,,,
paris,ALL,65,1452,8804,3666,697,1399.42,1399.42,0,49,22260.74,,,,,,,,,,,,,,,,,
paris,SEQ,70,1452,8804,3666,697,1538.54,1123.54,415,34,12971.62,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,70,1452,8804,3666,697,1434.25,1434.25,0,49,24070.89,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,70,1452,8804,3666,697,1468.04,1468.04,0,50,16981.61,,,,,,,,,,,,,,,,,
paris,ALL,70,1452,8804,3666,697,1412.61,1412.61,0,49,23058,,,,,,,,,,,,,,,,,
paris,SEQ,75,1452,8804,3666,697,1622.38,1087.38,535,32,14638.36,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,75,1452,8804,3666,697,1397.02,1397.02,0,49,22005.97,,,,,,,,,,,,,,,,,
